,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam
WIKRE19,-0.27,0.393,0.931,0.607,0.981,0.393,0.4056074496245733,0.931,0.031050319018657353,-0.57,0.284,0.94,0.716,0.987,0.284,0.5466816599529624,0.94,0.026872146400301365,0.3,0.616,0.975,0.384,0.984,0.384,0.4156687756324692,0.975,0.010995384301463193
XROFJ3,-0.99,0.162,0.897,0.838,0.981,0.162,0.790484985457369,0.897,0.047207556955907906,-0.57,0.286,0.94,0.714,0.987,0.286,0.543633966870957,0.94,0.026872146400301365,0.19,0.575,0.972,0.425,0.984,0.425,0.37161106994968846,0.972,0.012333735073725434
OST172,-0.89,0.188,0.897,0.812,0.981,0.188,0.7258421507363202,0.897,0.047207556955907906,-0.56,0.287,0.94,0.713,0.987,0.287,0.5421181032660077,0.94,0.026872146400301365,-0.58,0.282,0.925,0.718,0.984,0.282,0.549750891680639,0.925,0.03385826726096737
CKZ756,1.19,0.883,0.999,0.117,0.915,0.117,0.9318141382538383,0.915,0.038578905933551705,-0.56,0.287,0.94,0.713,0.987,0.287,0.5421181032660077,0.94,0.026872146400301365,-0.91,0.181,0.925,0.819,0.984,0.181,0.7423214251308154,0.925,0.03385826726096737
QOHQU85,-0.05,0.479,0.968,0.521,0.981,0.479,0.3196644865854368,0.968,0.014124642691606345,-0.56,0.288,0.94,0.712,0.987,0.288,0.5406075122407692,0.94,0.026872146400301365,-1.49,0.0687,0.925,0.931,0.986,0.0687,1.1630432629404497,0.925,0.03385826726096737
ZDNUM0,0.79,0.784,0.993,0.216,0.981,0.216,0.6655462488490691,0.981,0.008330992620051497,-0.56,0.288,0.94,0.712,0.987,0.288,0.5406075122407692,0.94,0.026872146400301365,0.28,0.608,0.975,0.392,0.984,0.392,0.4067139329795427,0.975,0.010995384301463193
HUMZY485,-0.14,0.444,0.952,0.556,0.981,0.444,0.3526170298853802,0.952,0.021363051615525673,-0.55,0.29,0.94,0.71,0.987,0.29,0.5376020021010439,0.94,0.026872146400301365,-0.64,0.26,0.925,0.74,0.984,0.26,0.585026652029182,0.925,0.03385826726096737
RONTA018,-0.36,0.359,0.92,0.641,0.981,0.359,0.44490555142168087,0.92,0.036212172654444715,-0.55,0.29,0.94,0.71,0.987,0.29,0.5376020021010439,0.94,0.026872146400301365,-0.08,0.469,0.962,0.531,0.984,0.469,0.32882715728491674,0.962,0.016824927962187056
MVTN694,0.91,0.819,0.999,0.181,0.978,0.181,0.7423214251308154,0.978,0.009661145212398569,-0.55,0.29,0.94,0.71,0.987,0.29,0.5376020021010439,0.94,0.026872146400301365,0.11,0.543,0.97,0.457,0.984,0.457,0.34008379993014975,0.97,0.01322826573375516
NAF81,0.63,0.736,0.988,0.264,0.981,0.264,0.5783960731301689,0.981,0.008330992620051497,-0.55,0.29,0.94,0.71,0.987,0.29,0.5376020021010439,0.94,0.026872146400301365,0.68,0.753,0.998,0.247,0.979,0.247,0.6073030467403343,0.979,0.009217308196862183
APF6,-1.36,0.0865,0.897,0.914,0.981,0.0865,1.0629838925351858,0.897,0.047207556955907906,-0.55,0.292,0.94,0.708,0.987,0.292,0.5346171485515817,0.94,0.026872146400301365,-1.01,0.157,0.925,0.843,0.984,0.157,0.8041003475907662,0.925,0.03385826726096737
MDI842,0.08,0.534,0.971,0.466,0.981,0.466,0.3316140833099998,0.971,0.012780770091995148,-0.55,0.292,0.94,0.708,0.987,0.292,0.5346171485515817,0.94,0.026872146400301365,-1.45,0.0733,0.925,0.927,0.986,0.0733,1.134896025358872,0.925,0.03385826726096737
TMRN6,-0.85,0.199,0.897,0.801,0.981,0.199,0.7011469235902933,0.897,0.047207556955907906,-0.55,0.293,0.94,0.707,0.987,0.293,0.5331323796458906,0.94,0.026872146400301365,0.06,0.525,0.97,0.475,0.984,0.475,0.3233063903751334,0.97,0.01322826573375516
WJYO1,0.41,0.661,0.988,0.339,0.981,0.339,0.4698003017969178,0.981,0.008330992620051497,-0.55,0.293,0.94,0.707,0.987,0.293,0.5331323796458906,0.94,0.026872146400301365,0.31,0.622,0.975,0.378,0.984,0.378,0.4225082001627747,0.975,0.010995384301463193
DSGFV139,0.66,0.744,0.988,0.256,0.981,0.256,0.5917600346881504,0.981,0.008330992620051497,-0.54,0.293,0.94,0.707,0.987,0.293,0.5331323796458906,0.94,0.026872146400301365,0.54,0.704,0.986,0.296,0.984,0.296,0.5287082889410615,0.984,0.007004901568658489
TMNE52,-0.09,0.464,0.964,0.536,0.981,0.464,0.3334820194451191,0.964,0.01592296609716924,-0.54,0.294,0.94,0.706,0.987,0.294,0.5316526695878427,0.94,0.026872146400301365,0.24,0.595,0.974,0.405,0.984,0.405,0.3925449767853314,0.974,0.011441043121384482
HVLIU8,-0.38,0.35,0.92,0.65,0.981,0.35,0.4559319556497244,0.92,0.036212172654444715,-0.54,0.294,0.94,0.706,0.987,0.294,0.5316526695878427,0.94,0.026872146400301365,-0.05,0.479,0.963,0.521,0.984,0.479,0.3196644865854368,0.963,0.0163737128754655
DXKZ3,1.36,0.913,0.999,0.0866,0.915,0.0866,1.0624821079826534,0.915,0.038578905933551705,-0.54,0.295,0.94,0.705,0.987,0.295,0.530177984021837,0.94,0.026872146400301365,-0.33,0.369,0.949,0.631,0.984,0.369,0.4329736338409396,0.949,0.022733787572707352
KIBU47,-0.54,0.295,0.898,0.705,0.981,0.295,0.530177984021837,0.898,0.04672366333269562,-0.54,0.295,0.94,0.705,0.987,0.295,0.530177984021837,0.94,0.026872146400301365,-0.61,0.272,0.925,0.728,0.984,0.272,0.5654310959658012,0.925,0.03385826726096737
NXH0,0.41,0.661,0.988,0.339,0.981,0.339,0.4698003017969178,0.981,0.008330992620051497,-0.53,0.297,0.94,0.703,0.987,0.297,0.5272435506827877,0.94,0.026872146400301365,-2.77,0.00277,0.925,0.997,0.997,0.00277,2.5575202309355514,0.925,0.03385826726096737
HBLJ136,0.49,0.689,0.988,0.311,0.981,0.311,0.5072396109731625,0.981,0.008330992620051497,-0.53,0.297,0.94,0.703,0.987,0.297,0.5272435506827877,0.94,0.026872146400301365,-0.16,0.436,0.959,0.564,0.984,0.436,0.36051351073141397,0.959,0.018181392829336417
LDZBQ657,-0.05,0.481,0.968,0.519,0.981,0.481,0.31785492362616824,0.968,0.014124642691606345,-0.53,0.297,0.94,0.703,0.987,0.297,0.5272435506827877,0.94,0.026872146400301365,-0.51,0.304,0.93,0.696,0.984,0.304,0.5171264163912462,0.93,0.03151705144606486
GNDS0,1.4,0.92,0.999,0.0802,0.915,0.0802,1.0958256317158366,0.915,0.038578905933551705,-0.53,0.297,0.94,0.703,0.987,0.297,0.5272435506827877,0.94,0.026872146400301365,0.27,0.608,0.975,0.392,0.984,0.392,0.4067139329795427,0.975,0.010995384301463193
ZYZF84,-1.02,0.155,0.897,0.845,0.981,0.155,0.8096683018297085,0.897,0.047207556955907906,-0.53,0.297,0.94,0.703,0.987,0.297,0.5272435506827877,0.94,0.026872146400301365,0.44,0.668,0.981,0.332,0.984,0.332,0.4788619162959637,0.981,0.008330992620051497
UYLQB45,-1.34,0.0898,0.897,0.91,0.981,0.0898,1.0467236633326955,0.897,0.047207556955907906,-0.53,0.298,0.94,0.702,0.987,0.298,0.5257837359237448,0.94,0.026872146400301365,0.71,0.761,0.998,0.239,0.979,0.239,0.6216020990518624,0.979,0.009217308196862183
EPMGB016,2.17,0.985,0.999,0.0151,0.648,0.0151,1.8210230527068305,0.648,0.18842499412940666,-0.53,0.3,0.94,0.7,0.987,0.3,0.5228787452803376,0.94,0.026872146400301365,-0.56,0.289,0.925,0.711,0.984,0.289,0.5391021572434522,0.925,0.03385826726096737
PHZVI46,0.11,0.543,0.972,0.457,0.981,0.457,0.34008379993014975,0.972,0.012333735073725434,-0.53,0.3,0.94,0.7,0.987,0.3,0.5228787452803376,0.94,0.026872146400301365,-0.58,0.281,0.925,0.719,0.984,0.281,0.5512936800949201,0.925,0.03385826726096737
VVOQM9,-1.46,0.0717,0.897,0.928,0.981,0.0717,1.1444808443321999,0.897,0.047207556955907906,-0.53,0.3,0.94,0.7,0.987,0.3,0.5228787452803376,0.94,0.026872146400301365,0.71,0.761,0.998,0.239,0.979,0.239,0.6216020990518624,0.979,0.009217308196862183
PONLU49,-0.91,0.181,0.897,0.819,0.981,0.181,0.7423214251308154,0.897,0.047207556955907906,-0.52,0.3,0.94,0.7,0.987,0.3,0.5228787452803376,0.94,0.026872146400301365,0.76,0.777,0.998,0.223,0.979,0.223,0.6516951369518393,0.979,0.009217308196862183
USD91,0.14,0.557,0.981,0.443,0.981,0.443,0.3535962737769304,0.981,0.008330992620051497,-0.52,0.3,0.94,0.7,0.987,0.3,0.5228787452803376,0.94,0.026872146400301365,-0.23,0.407,0.957,0.593,0.984,0.407,0.39040559077478,0.957,0.01908806222315645
QBKOM3,0.11,0.545,0.973,0.455,0.981,0.455,0.34198860334288755,0.973,0.0118871597316481,-0.52,0.3,0.94,0.7,0.987,0.3,0.5228787452803376,0.94,0.026872146400301365,0.57,0.716,0.99,0.284,0.984,0.284,0.5466816599529624,0.984,0.007004901568658489
JNGI425,0.03,0.512,0.97,0.488,0.981,0.488,0.3115801779972894,0.97,0.01322826573375516,-0.52,0.301,0.94,0.699,0.987,0.301,0.5214335044061567,0.94,0.026872146400301365,-1.17,0.12,0.925,0.88,0.984,0.12,0.9208187539523752,0.925,0.03385826726096737
XDGNW1,0.44,0.67,0.988,0.33,0.981,0.33,0.4814860601221125,0.981,0.008330992620051497,-0.52,0.301,0.94,0.699,0.987,0.301,0.5214335044061567,0.94,0.026872146400301365,1.05,0.854,1.0,0.146,0.953,0.146,0.835647144215563,0.953,0.02090709936167361
WAZPD38,0.45,0.674,0.988,0.326,0.981,0.326,0.48678239993206096,0.981,0.008330992620051497,-0.52,0.302,0.94,0.698,0.987,0.302,0.5199930570428494,0.94,0.026872146400301365,0.7,0.757,0.998,0.243,0.979,0.243,0.6143937264016879,0.979,0.009217308196862183
NZUBQ709,-0.3,0.383,0.929,0.617,0.981,0.383,0.41680122603137726,0.929,0.03198428600635821,-0.52,0.302,0.94,0.698,0.987,0.302,0.5199930570428494,0.94,0.026872146400301365,0.12,0.549,0.97,0.451,0.984,0.451,0.34582345812203946,0.97,0.01322826573375516
OPFTS15,-0.17,0.433,0.952,0.567,0.981,0.433,0.36351210364663455,0.952,0.021363051615525673,-0.52,0.303,0.94,0.697,0.987,0.303,0.518557371497695,0.94,0.026872146400301365,0.81,0.791,0.998,0.209,0.979,0.209,0.679853713888946,0.979,0.009217308196862183
BVQOL67,-0.15,0.44,0.952,0.56,0.981,0.44,0.3565473235138126,0.952,0.021363051615525673,-0.52,0.303,0.94,0.697,0.987,0.303,0.518557371497695,0.94,0.026872146400301365,1.02,0.847,0.998,0.153,0.953,0.153,0.8153085691824012,0.953,0.02090709936167361
CUOIA95,1.0,0.841,0.999,0.159,0.957,0.159,0.7986028756795485,0.957,0.01908806222315645,-0.52,0.303,0.94,0.697,0.987,0.303,0.518557371497695,0.94,0.026872146400301365,-0.3,0.383,0.952,0.617,0.984,0.383,0.41680122603137726,0.952,0.021363051615525673
EDMVH37,0.54,0.704,0.988,0.296,0.981,0.296,0.5287082889410615,0.981,0.008330992620051497,-0.51,0.304,0.94,0.696,0.987,0.304,0.5171264163912462,0.94,0.026872146400301365,1.24,0.893,1.0,0.107,0.937,0.107,0.9706162223147904,0.937,0.02826040911222171
MNC91,-0.45,0.326,0.909,0.674,0.981,0.326,0.48678239993206096,0.909,0.041436116778032536,-0.51,0.304,0.94,0.696,0.987,0.304,0.5171264163912462,0.94,0.026872146400301365,0.27,0.607,0.975,0.393,0.984,0.393,0.4056074496245733,0.975,0.010995384301463193
JQOZH147,-1.12,0.13,0.897,0.87,0.981,0.13,0.8860566476931632,0.897,0.047207556955907906,-0.51,0.306,0.94,0.694,0.987,0.306,0.51427857351842,0.94,0.026872146400301365,-0.57,0.286,0.925,0.714,0.984,0.286,0.543633966870957,0.925,0.03385826726096737
NQHI601,0.12,0.549,0.975,0.451,0.981,0.451,0.34582345812203946,0.975,0.010995384301463193,-0.51,0.306,0.94,0.694,0.987,0.306,0.51427857351842,0.94,0.026872146400301365,-0.4,0.344,0.945,0.656,0.984,0.344,0.46344155742846993,0.945,0.024568191490737076
XGQCB072,1.97,0.976,0.999,0.0244,0.687,0.0244,1.6126101736612706,0.687,0.16304326294044955,-0.51,0.307,0.94,0.693,0.987,0.307,0.5128616245228135,0.94,0.026872146400301365,0.14,0.555,0.97,0.445,0.984,0.445,0.3516399890190684,0.97,0.01322826573375516
ECW21,1.19,0.883,0.999,0.117,0.915,0.117,0.9318141382538383,0.915,0.038578905933551705,-0.51,0.307,0.94,0.693,0.987,0.307,0.5128616245228135,0.94,0.026872146400301365,0.73,0.769,0.998,0.231,0.979,0.231,0.6363880201078557,0.979,0.009217308196862183
UNA19,-0.76,0.225,0.897,0.775,0.981,0.225,0.6478174818886375,0.897,0.047207556955907906,-0.5,0.308,0.94,0.692,0.987,0.308,0.5114492834995558,0.94,0.026872146400301365,-0.47,0.319,0.943,0.681,0.984,0.319,0.4962093169428189,0.943,0.02548830726267165
BRSPA235,0.67,0.747,0.988,0.253,0.981,0.253,0.5968794788241821,0.981,0.008330992620051497,-0.5,0.309,0.94,0.691,0.987,0.309,0.5100415205751654,0.94,0.026872146400301365,0.5,0.69,0.982,0.31,0.984,0.31,0.5086383061657274,0.982,0.00788851221305034
HQBFR6,-0.95,0.17,0.897,0.83,0.981,0.17,0.769551078621726,0.897,0.047207556955907906,-0.5,0.31,0.94,0.69,0.987,0.31,0.5086383061657274,0.94,0.026872146400301365,-1.49,0.0686,0.925,0.931,0.986,0.0686,1.1636758842932484,0.925,0.03385826726096737
VZMF8,0.55,0.708,0.988,0.292,0.981,0.292,0.5346171485515817,0.981,0.008330992620051497,-0.49,0.31,0.94,0.69,0.987,0.31,0.5086383061657274,0.94,0.026872146400301365,1.42,0.922,1.0,0.0782,0.929,0.0782,1.106793246940152,0.929,0.03198428600635821
FNKEB2,0.42,0.661,0.988,0.339,0.981,0.339,0.4698003017969178,0.981,0.008330992620051497,-0.49,0.311,0.94,0.689,0.987,0.311,0.5072396109731625,0.94,0.026872146400301365,-0.52,0.301,0.93,0.699,0.984,0.301,0.5214335044061567,0.93,0.03151705144606486
NHI2,-0.04,0.482,0.968,0.518,0.981,0.482,0.31695296176115045,0.968,0.014124642691606345,-0.49,0.311,0.94,0.689,0.987,0.311,0.5072396109731625,0.94,0.026872146400301365,0.02,0.508,0.97,0.492,0.984,0.492,0.30803489723263966,0.97,0.01322826573375516
OEX069,-0.55,0.292,0.898,0.708,0.981,0.292,0.5346171485515817,0.898,0.04672366333269562,-0.49,0.312,0.94,0.688,0.987,0.312,0.5058454059815573,0.94,0.026872146400301365,0.32,0.624,0.975,0.376,0.984,0.376,0.42481215507233894,0.975,0.010995384301463193
BTZNO75,-0.79,0.216,0.897,0.784,0.981,0.216,0.6655462488490691,0.897,0.047207556955907906,-0.49,0.313,0.94,0.687,0.987,0.313,0.5044556624535516,0.94,0.026872146400301365,0.27,0.605,0.975,0.395,0.984,0.395,0.40340290437353976,0.975,0.010995384301463193
RLMJ316,-1.72,0.0429,0.897,0.957,0.985,0.0429,1.3675427078152758,0.897,0.047207556955907906,-0.49,0.313,0.94,0.687,0.987,0.313,0.5044556624535516,0.94,0.026872146400301365,-0.09,0.463,0.96,0.537,0.984,0.463,0.33441900898204685,0.96,0.017728766960431602
WYQ60,1.39,0.917,0.999,0.0826,0.915,0.0826,1.0830199526796178,0.915,0.038578905933551705,-0.49,0.313,0.94,0.687,0.987,0.313,0.5044556624535516,0.94,0.026872146400301365,-1.5,0.0663,0.925,0.934,0.986,0.0663,1.1784864715952268,0.925,0.03385826726096737
PRF9,-2.5,0.00625,0.897,0.994,0.995,0.00625,2.2041199826559246,0.897,0.047207556955907906,-0.49,0.314,0.94,0.686,0.987,0.314,0.5030703519267851,0.94,0.026872146400301365,-0.27,0.394,0.952,0.606,0.984,0.394,0.40450377817442584,0.952,0.021363051615525673
ZZE5,-0.74,0.23,0.897,0.77,0.981,0.23,0.638272163982407,0.897,0.047207556955907906,-0.48,0.314,0.94,0.686,0.987,0.314,0.5030703519267851,0.94,0.026872146400301365,-0.94,0.174,0.925,0.826,0.984,0.174,0.7594507517174003,0.925,0.03385826726096737
PGBFZ9,-1.17,0.122,0.897,0.878,0.981,0.122,0.9136401693252518,0.897,0.047207556955907906,-0.48,0.314,0.94,0.686,0.987,0.314,0.5030703519267851,0.94,0.026872146400301365,0.34,0.634,0.975,0.366,0.984,0.366,0.43651891460558934,0.975,0.010995384301463193
INAGT67,0.78,0.782,0.993,0.218,0.981,0.218,0.6615435063953952,0.981,0.008330992620051497,-0.48,0.315,0.94,0.685,0.987,0.315,0.5016894462103995,0.94,0.026872146400301365,0.12,0.549,0.97,0.451,0.984,0.451,0.34582345812203946,0.97,0.01322826573375516
XIP897,-0.91,0.181,0.897,0.819,0.981,0.181,0.7423214251308154,0.897,0.047207556955907906,-0.48,0.315,0.94,0.685,0.987,0.315,0.5016894462103995,0.94,0.026872146400301365,0.24,0.594,0.974,0.406,0.984,0.406,0.39147396642280585,0.974,0.011441043121384482
YJG85,1.22,0.889,0.999,0.111,0.915,0.111,0.9546770212133425,0.915,0.038578905933551705,-0.48,0.316,0.94,0.684,0.987,0.316,0.5003129173815962,0.94,0.026872146400301365,0.73,0.768,0.998,0.232,0.979,0.232,0.6345120151091003,0.979,0.009217308196862183
VAUC46,-0.14,0.446,0.954,0.554,0.981,0.446,0.35066514128785814,0.954,0.020451625295904902,-0.48,0.316,0.94,0.684,0.987,0.316,0.5003129173815962,0.94,0.026872146400301365,0.7,0.759,0.998,0.241,0.979,0.241,0.6179829574251317,0.979,0.009217308196862183
GBXAW96,-0.35,0.365,0.92,0.635,0.981,0.365,0.4377071355435253,0.92,0.036212172654444715,-0.48,0.316,0.94,0.684,0.987,0.316,0.5003129173815962,0.94,0.026872146400301365,-1.02,0.154,0.925,0.846,0.984,0.154,0.8124792791635369,0.925,0.03385826726096737
HSAF0,-1.58,0.0566,0.897,0.943,0.981,0.0566,1.2471835688117285,0.897,0.047207556955907906,-0.48,0.316,0.94,0.684,0.987,0.316,0.5003129173815962,0.94,0.026872146400301365,0.17,0.567,0.972,0.433,0.984,0.433,0.36351210364663455,0.972,0.012333735073725434
SCGF8,2.3,0.989,0.999,0.0106,0.638,0.0106,1.9746941347352298,0.638,0.19517932127883766,-0.48,0.317,0.94,0.683,0.987,0.317,0.4989407377822485,0.94,0.026872146400301365,0.75,0.774,0.998,0.226,0.979,0.226,0.645891560852599,0.979,0.009217308196862183
HHDN6,0.1,0.541,0.971,0.459,0.981,0.459,0.33818731446273875,0.971,0.012780770091995148,-0.48,0.317,0.94,0.683,0.987,0.317,0.4989407377822485,0.94,0.026872146400301365,-1.97,0.0246,0.925,0.975,0.989,0.0246,1.609064892896621,0.925,0.03385826726096737
LULE4,1.58,0.943,0.999,0.0568,0.835,0.0568,1.245651664288981,0.835,0.07831352451639793,-0.48,0.317,0.94,0.683,0.987,0.317,0.4989407377822485,0.94,0.026872146400301365,-0.01,0.497,0.969,0.503,0.984,0.497,0.3036436112666679,0.969,0.013676222949234686
ANL51,1.81,0.965,0.999,0.035,0.815,0.035,1.4559319556497243,0.815,0.08884239126002341,-0.47,0.318,0.94,0.682,0.987,0.318,0.4975728800155673,0.94,0.026872146400301365,1.15,0.876,1.0,0.124,0.949,0.124,0.906578314837765,0.949,0.022733787572707352
LOP7,-1.06,0.145,0.897,0.855,0.981,0.145,0.8386319977650252,0.897,0.047207556955907906,-0.47,0.318,0.94,0.682,0.987,0.318,0.4975728800155673,0.94,0.026872146400301365,0.16,0.564,0.972,0.436,0.984,0.436,0.36051351073141397,0.972,0.012333735073725434
QFKE2,0.31,0.622,0.987,0.378,0.981,0.378,0.4225082001627747,0.981,0.008330992620051497,-0.47,0.319,0.94,0.681,0.987,0.319,0.4962093169428189,0.94,0.026872146400301365,0.48,0.684,0.981,0.316,0.984,0.316,0.5003129173815962,0.981,0.008330992620051497
DWU35,0.77,0.778,0.993,0.222,0.981,0.222,0.6536470255493614,0.981,0.008330992620051497,-0.47,0.32,0.94,0.68,0.987,0.32,0.494850021680094,0.94,0.026872146400301365,-0.42,0.336,0.945,0.664,0.984,0.336,0.4736607226101559,0.945,0.024568191490737076
JNS1,0.09,0.536,0.971,0.464,0.981,0.464,0.3334820194451191,0.971,0.012780770091995148,-0.47,0.32,0.94,0.68,0.987,0.32,0.494850021680094,0.94,0.026872146400301365,0.06,0.526,0.97,0.474,0.984,0.474,0.324221658325915,0.97,0.01322826573375516
TSX60,1.47,0.93,0.999,0.0702,0.874,0.0702,1.1536628878701947,0.874,0.05848856736559697,-0.47,0.32,0.94,0.68,0.987,0.32,0.494850021680094,0.94,0.026872146400301365,-0.98,0.164,0.925,0.836,0.984,0.164,0.7851561519523022,0.925,0.03385826726096737
BSW9,-0.99,0.162,0.897,0.838,0.981,0.162,0.790484985457369,0.897,0.047207556955907906,-0.47,0.32,0.94,0.68,0.987,0.32,0.494850021680094,0.94,0.026872146400301365,-0.04,0.483,0.965,0.517,0.984,0.483,0.31605286924848786,0.965,0.015472686656207449
PACRD0,0.03,0.514,0.97,0.486,0.981,0.486,0.3133637307377066,0.97,0.01322826573375516,-0.46,0.321,0.94,0.679,0.987,0.321,0.4934949675951279,0.94,0.026872146400301365,-0.66,0.255,0.925,0.745,0.984,0.255,0.5934598195660448,0.925,0.03385826726096737
YYWO7,1.59,0.944,0.999,0.0564,0.835,0.0564,1.2487208960166578,0.835,0.07831352451639793,-0.46,0.321,0.94,0.679,0.987,0.321,0.4934949675951279,0.94,0.026872146400301365,-0.49,0.313,0.94,0.687,0.984,0.313,0.5044556624535516,0.94,0.026872146400301365
HSTF768,1.02,0.845,0.999,0.155,0.953,0.155,0.8096683018297085,0.953,0.02090709936167361,-0.46,0.322,0.94,0.678,0.987,0.322,0.4921441283041691,0.94,0.026872146400301365,1.29,0.902,1.0,0.098,0.937,0.098,1.0087739243075051,0.937,0.02826040911222171
FLSUP1,-0.09,0.463,0.964,0.537,0.981,0.463,0.33441900898204685,0.964,0.01592296609716924,-0.46,0.322,0.94,0.678,0.987,0.322,0.4921441283041691,0.94,0.026872146400301365,0.53,0.701,0.986,0.299,0.984,0.299,0.5243288116755703,0.984,0.007004901568658489
FKS597,1.48,0.931,0.999,0.0693,0.874,0.0693,1.1592667653881932,0.874,0.05848856736559697,-0.46,0.324,0.94,0.676,0.987,0.324,0.48945498979338786,0.94,0.026872146400301365,1.5,0.934,1.0,0.0664,0.929,0.0664,1.1778319206319825,0.929,0.03198428600635821
WTXS1,0.47,0.68,0.988,0.32,0.981,0.32,0.494850021680094,0.981,0.008330992620051497,-0.46,0.324,0.94,0.676,0.987,0.324,0.48945498979338786,0.94,0.026872146400301365,0.15,0.561,0.972,0.439,0.984,0.439,0.35753547975787864,0.972,0.012333735073725434
BCDOX2,0.28,0.61,0.987,0.39,0.981,0.39,0.4089353929735008,0.981,0.008330992620051497,-0.45,0.325,0.94,0.675,0.987,0.325,0.4881166390211256,0.94,0.026872146400301365,-1.64,0.0502,0.925,0.95,0.986,0.0502,1.2992962828549806,0.925,0.03385826726096737
QGCUJ3,-0.41,0.34,0.911,0.66,0.981,0.34,0.46852108295774486,0.911,0.040481623027001735,-0.45,0.325,0.94,0.675,0.987,0.325,0.4881166390211256,0.94,0.026872146400301365,-1.73,0.0421,0.925,0.958,0.987,0.0421,1.3757179041643317,0.925,0.03385826726096737
FXMJC1,-0.77,0.222,0.897,0.778,0.981,0.222,0.6536470255493614,0.897,0.047207556955907906,-0.45,0.326,0.94,0.674,0.987,0.326,0.48678239993206096,0.94,0.026872146400301365,0.48,0.685,0.981,0.315,0.984,0.315,0.5016894462103995,0.981,0.008330992620051497
XAFUL591,-0.83,0.203,0.897,0.797,0.981,0.203,0.6925039620867871,0.897,0.047207556955907906,-0.45,0.326,0.94,0.674,0.987,0.326,0.48678239993206096,0.94,0.026872146400301365,-0.18,0.428,0.958,0.572,0.984,0.428,0.368556230986828,0.958,0.018634490921455603
CYKI3,1.24,0.893,0.999,0.107,0.915,0.107,0.9706162223147904,0.915,0.038578905933551705,-0.45,0.327,0.94,0.673,0.987,0.327,0.4854522473397139,0.94,0.026872146400301365,1.69,0.955,1.0,0.0455,0.859,0.0455,1.3419886033428876,0.859,0.0660068361687577
FCFO4,0.89,0.814,0.999,0.186,0.981,0.186,0.7304870557820837,0.981,0.008330992620051497,-0.45,0.327,0.94,0.673,0.987,0.327,0.4854522473397139,0.94,0.026872146400301365,-0.9,0.185,0.925,0.815,0.984,0.185,0.7328282715969862,0.925,0.03385826726096737
MOZ6,0.85,0.802,0.997,0.198,0.981,0.198,0.7033348097384688,0.981,0.008330992620051497,-0.45,0.328,0.94,0.672,0.987,0.328,0.4841261562883209,0.94,0.026872146400301365,-0.07,0.471,0.962,0.529,0.984,0.471,0.3269790928711038,0.962,0.016824927962187056
YEJBG867,1.04,0.85,0.999,0.15,0.953,0.15,0.8239087409443188,0.953,0.02090709936167361,-0.44,0.329,0.94,0.671,0.987,0.329,0.48280410205002566,0.94,0.026872146400301365,1.79,0.963,1.0,0.037,0.831,0.037,1.431798275933005,0.831,0.08039897621588903
QEY6,0.13,0.551,0.975,0.449,0.981,0.449,0.3477536589966768,0.975,0.010995384301463193,-0.44,0.329,0.94,0.671,0.987,0.329,0.48280410205002566,0.94,0.026872146400301365,-0.92,0.18,0.925,0.82,0.984,0.18,0.744727494896694,0.925,0.03385826726096737
QFJQ10,1.77,0.962,0.999,0.0382,0.815,0.0382,1.4179366370882913,0.815,0.08884239126002341,-0.44,0.329,0.94,0.671,0.987,0.329,0.48280410205002566,0.94,0.026872146400301365,0.51,0.695,0.984,0.305,0.984,0.305,0.5157001606532142,0.984,0.007004901568658489
IBEZ801,0.62,0.732,0.988,0.268,0.981,0.268,0.5718652059712112,0.981,0.008330992620051497,-0.44,0.329,0.94,0.671,0.987,0.329,0.48280410205002566,0.94,0.026872146400301365,0.14,0.555,0.97,0.445,0.984,0.445,0.3516399890190684,0.97,0.01322826573375516
IZSU4,-0.18,0.429,0.952,0.571,0.981,0.429,0.36754270781527576,0.952,0.021363051615525673,-0.44,0.331,0.94,0.669,0.987,0.331,0.48017200622428124,0.94,0.026872146400301365,0.56,0.711,0.986,0.289,0.984,0.289,0.5391021572434522,0.984,0.007004901568658489
KBQJ37,-0.24,0.404,0.943,0.596,0.981,0.404,0.393618634889395,0.943,0.02548830726267165,-0.44,0.332,0.94,0.668,0.987,0.332,0.4788619162959637,0.94,0.026872146400301365,1.28,0.899,1.0,0.101,0.937,0.101,0.9956786262173574,0.937,0.02826040911222171
HJF256,0.62,0.732,0.988,0.268,0.981,0.268,0.5718652059712112,0.981,0.008330992620051497,-0.44,0.332,0.94,0.668,0.987,0.332,0.4788619162959637,0.94,0.026872146400301365,-0.08,0.466,0.962,0.534,0.984,0.466,0.3316140833099998,0.962,0.016824927962187056
