guide	gene	Givpir_1	Givpir_2	Givpir_3	Netretopanpir_1	Netretopanpir_2	Netretopanpir_3	NonTreated_1	NonTreated_2	NonTreated_3	Xosam_1	Xosam_2	Xosam_3
WNQL450_1	WNQL450	1807	1772	1819	1094	1090	1027	648	590	672	1152	1110	1153
WNQL450_2	WNQL450	1831	1761	1851	1020	1060	1056	575	641	570	1151	1110	1143
NHI2_1	NHI2	1194	1106	1144	823	816	856	630	667	637	1271	1244	1240
NHI2_2	NHI2	1084	1193	1205	908	842	789	534	608	633	1250	1153	1165
HVLIU8_1	HVLIU8	880	882	879	821	816	787	568	532	650	1074	1134	1116
HVLIU8_2	HVLIU8	888	781	841	693	728	757	554	608	587	1027	1026	1159
ZHZA0_1	ZHZA0	1594	1569	1618	2792	2809	2895	579	630	531	948	839	847
ZHZA0_2	ZHZA0	1599	1593	1645	2856	2748	2874	586	613	579	939	845	907
AFZ492_1	AFZ492	4850	4850	4787	1186	1232	1266	541	564	564	837	862	823
AFZ492_2	AFZ492	4883	4806	4842	1280	1261	1285	637	566	619	830	818	901
NMJ084_1	NMJ084	384	368	413	2871	2814	2801	582	554	556	745	662	731
NMJ084_2	NMJ084	434	477	493	2926	2840	2784	656	557	584	725	659	721
AKXGR6_1	AKXGR6	537	502	417	1096	1081	1096	641	535	630	3573	3543	3550
AKXGR6_2	AKXGR6	493	436	478	976	1044	961	613	651	623	3564	3513	3520
YLA2_1	YLA2	205	160	76	92	163	154	154	86	194	212	98	170
YLA2_2	YLA2	96	131	191	201	189	165	211	150	109	224	215	142
GDCU952_1	GDCU952	951	935	860	872	872	745	641	665	603	2380	2365	2386
GDCU952_2	GDCU952	915	978	868	808	794	740	645	668	526	2450	2395	2323
HJF256_1	HJF256	1767	1743	1757	795	867	850	653	594	547	1011	1138	1143
HJF256_2	HJF256	1752	1733	1711	790	884	853	561	635	584	1075	1085	1096
LWGA2_1	LWGA2	754	776	782	1169	1221	1303	619	645	675	246	269	363
LWGA2_2	LWGA2	803	832	865	1297	1242	1253	530	540	568	315	282	368
MLN24_1	MLN24	616	602	526	1539	1454	1512	533	569	671	1235	1331	1239
MLN24_2	MLN24	536	603	555	1415	1476	1508	671	545	620	1238	1308	1217
USA103_1	USA103	1046	1151	1090	711	631	676	625	551	574	1094	1012	1115
USA103_2	USA103	1060	1075	1062	610	714	749	566	535	580	1159	1044	1027
DWGS3_1	DWGS3	348	413	365	364	355	343	639	544	635	2407	2517	2430
DWGS3_2	DWGS3	390	362	450	451	447	454	538	560	625	2440	2481	2510
HOHDQ126_1	HOHDQ126	2853	2741	2813	1115	1116	1075	674	533	628	749	655	696
HOHDQ126_2	HOHDQ126	2782	2819	2741	1035	1098	1119	582	602	652	702	751	748
JFGY658_1	JFGY658	516	568	578	358	279	332	663	664	596	959	1033	1078
JFGY658_2	JFGY658	487	474	554	297	313	300	635	595	553	1016	998	1017
YOBK20_1	YOBK20	1616	1666	1649	1911	2020	1949	654	618	613	965	956	1051
YOBK20_2	YOBK20	1612	1677	1628	1910	1939	2041	569	642	562	930	1008	1056
MRZUQ10_1	MRZUQ10	581	702	598	1782	1801	1893	605	528	567	1213	1201	1271
MRZUQ10_2	MRZUQ10	584	637	576	1791	1818	1845	589	615	646	1145	1135	1136
QPSU05_1	QPSU05	2622	2661	2745	1978	2033	1930	634	533	655	872	854	927
QPSU05_2	QPSU05	2700	2716	2726	1919	2012	1967	591	548	595	912	845	844
VOC5_1	VOC5	1730	1628	1689	686	610	722	551	612	527	1854	1826	1821
VOC5_2	VOC5	1606	1696	1674	673	652	604	528	632	613	1919	1908	1891
ZZO84_1	ZZO84	530	517	424	1889	1824	1800	668	532	569	459	542	482
ZZO84_2	ZZO84	468	435	467	1897	1810	1870	555	553	616	568	473	480
LMUL1_1	LMUL1	358	291	283	847	802	819	637	546	624	934	1011	938
LMUL1_2	LMUL1	383	301	262	856	931	792	614	566	564	943	986	961
PFNO8_1	PFNO8	1832	1870	1886	2708	2688	2744	575	604	548	1296	1349	1366
PFNO8_2	PFNO8	1811	1817	1862	2724	2625	2681	536	670	537	1305	1368	1284
EKRWB8_1	EKRWB8	2910	2889	2814	2267	2248	2291	554	580	576	297	291	380
EKRWB8_2	EKRWB8	2797	2924	2802	2346	2385	2274	550	570	644	400	306	418
RNUKF83_1	RNUKF83	1115	1074	1156	3166	3041	3040	619	631	616	658	696	686
RNUKF83_2	RNUKF83	1182	1136	1210	3129	3052	3067	558	527	528	707	704	749
XJL3_1	XJL3	2578	2578	2571	890	1005	973	634	594	602	2232	2212	2227
XJL3_2	XJL3	2686	2586	2561	990	881	919	551	546	655	2313	2250	2214
PPIMX852_1	PPIMX852	700	688	598	1632	1622	1535	632	579	559	3666	3614	3657
PPIMX852_2	PPIMX852	632	618	668	1644	1513	1569	611	527	653	3671	3678	3593
UUQVF128_1	UUQVF128	1099	1079	1045	737	772	678	633	586	603	2139	2155	2195
UUQVF128_2	UUQVF128	1106	1126	1141	765	787	680	525	629	528	2127	2143	2148
TMX6_1	TMX6	1350	1308	1389	638	640	655	539	549	599	626	547	622
TMX6_2	TMX6	1310	1355	1331	703	690	650	574	625	665	665	580	631
JEXJB16_1	JEXJB16	1481	1595	1596	592	606	585	546	537	587	2153	2088	2078
JEXJB16_2	JEXJB16	1590	1571	1462	656	641	676	527	584	589	2089	2065	2157
BJS08_1	BJS08	821	780	816	797	866	876	603	533	580	2921	2874	2873
BJS08_2	BJS08	758	761	775	817	823	790	646	607	547	2825	2883	2824
UZI0_1	UZI0	1230	1227	1287	1075	1068	1060	563	559	554	680	660	636
UZI0_2	UZI0	1243	1210	1302	1114	1111	1113	579	572	583	559	637	637
ORD2_1	ORD2	3532	3429	3511	2724	2705	2687	553	582	530	647	601	599
ORD2_2	ORD2	3396	3396	3522	2673	2742	2724	663	661	619	689	633	679
RWBJS2_1	RWBJS2	770	711	740	3112	3076	3009	566	602	644	784	776	875
RWBJS2_2	RWBJS2	671	718	669	3064	3130	3112	645	580	574	855	779	774
ILCF08_1	ILCF08	939	1004	982	1856	1781	1778	603	651	574	3088	3017	3063
ILCF08_2	ILCF08	998	1051	1074	1875	1810	1815	634	655	582	3150	3021	3023
SEHY98_1	SEHY98	4433	4412	4465	1862	1934	1916	538	605	672	2987	3007	2989
SEHY98_2	SEHY98	4428	4337	4406	1904	1907	1892	552	674	655	3005	3052	2985
CYKI3_1	CYKI3	2721	2674	2662	857	851	827	663	550	637	3645	3713	3713
CYKI3_2	CYKI3	2722	2705	2797	773	902	880	559	673	561	3719	3644	3706
WXSFL0_1	WXSFL0	969	912	931	688	554	605	668	605	620	3702	3681	3657
WXSFL0_2	WXSFL0	941	958	872	541	634	666	581	619	565	3728	3778	3657
VBT716_1	VBT716	698	629	690	2360	2342	2442	530	593	632	470	487	435
VBT716_2	VBT716	626	706	672	2362	2327	2415	611	585	581	462	428	500
SNRKC764_1	SNRKC764	1193	1114	1146	1328	1335	1330	667	558	633	2946	2976	2876
SNRKC764_2	SNRKC764	1103	1189	1162	1348	1318	1374	602	542	674	2980	2847	2878
JGPS47_1	JGPS47	1331	1309	1294	535	538	516	665	546	635	5518	5602	5554
JGPS47_2	JGPS47	1324	1337	1360	548	551	439	552	620	545	5570	5567	5575
MNC91_1	MNC91	795	820	828	733	836	776	635	530	649	1367	1348	1354
MNC91_2	MNC91	810	843	871	758	875	753	582	554	584	1338	1407	1436
LMTE9_1	LMTE9	2764	2782	2744	2003	2016	2040	619	609	627	695	630	705
LMTE9_2	LMTE9	2726	2794	2668	2088	2046	2009	597	673	625	582	643	693
SKZHS05_1	SKZHS05	501	507	412	1092	1146	1165	551	584	590	773	825	739
SKZHS05_2	SKZHS05	504	383	518	1074	1088	1112	576	546	624	852	781	787
YXU05_1	YXU05	2061	2032	2127	841	852	960	528	619	558	925	840	896
YXU05_2	YXU05	2016	2019	2009	851	943	949	581	530	644	971	882	936
HXFR84_1	HXFR84	1598	1533	1584	1730	1669	1781	540	603	625	916	845	865
HXFR84_2	HXFR84	1569	1495	1570	1644	1709	1726	668	656	675	889	923	942
NIZC983_1	NIZC983	2432	2338	2432	1947	1933	1972	607	631	550	753	619	665
NIZC983_2	NIZC983	2367	2363	2396	1933	1926	1899	632	632	619	708	700	637
URU37_1	URU37	692	794	812	490	444	411	567	552	548	296	233	309
URU37_2	URU37	787	762	686	369	385	400	587	610	571	331	347	330
UIE29_1	UIE29	869	825	907	717	723	751	526	668	660	1265	1224	1169
UIE29_2	UIE29	764	770	798	803	695	665	620	580	595	1286	1165	1228
WVEQ624_1	WVEQ624	705	618	744	1771	1764	1735	582	580	613	562	554	491
WVEQ624_2	WVEQ624	647	708	636	1778	1687	1764	649	612	550	566	496	507
MCU12_1	MCU12	171	87	178	174	80	86	220	172	117	109	134	192
MCU12_2	MCU12	90	190	149	105	171	152	148	224	167	160	157	95
NMGB389_1	NMGB389	467	495	510	420	316	338	599	569	622	1067	933	1044
NMGB389_2	NMGB389	482	499	520	342	422	405	660	536	657	1061	927	938
GEOJH186_1	GEOJH186	2240	2265	2211	1684	1750	1686	571	557	572	2084	2122	2081
GEOJH186_2	GEOJH186	2228	2280	2290	1751	1653	1711	637	652	578	2138	2078	2189
DABW1_1	DABW1	1236	1230	1218	1937	2002	2009	584	580	629	1628	1713	1755
DABW1_2	DABW1	1166	1125	1181	1990	2014	2027	552	631	641	1647	1623	1671
RARKT5_1	RARKT5	407	350	285	966	834	929	554	633	597	517	527	453
RARKT5_2	RARKT5	388	312	390	892	843	956	672	540	624	518	509	393
LBQ1_1	LBQ1	1622	1534	1634	1414	1465	1460	588	661	611	1465	1445	1417
LBQ1_2	LBQ1	1498	1513	1548	1504	1517	1529	585	558	640	1499	1407	1446
QWP91_1	QWP91	961	1028	1024	1319	1336	1455	666	644	573	2054	2159	2086
QWP91_2	QWP91	1009	1000	931	1434	1403	1394	634	618	601	2099	2094	2022
OUHR1_1	OUHR1	998	1074	1087	2674	2732	2638	644	601	578	745	796	837
OUHR1_2	OUHR1	1035	979	1003	2604	2695	2609	576	569	651	767	801	815
XVRL427_1	XVRL427	183	193	170	185	126	153	214	210	135	106	173	222
XVRL427_2	XVRL427	76	124	218	115	215	162	115	160	183	146	110	79
OZDM7_1	OZDM7	948	1020	974	507	535	514	654	584	641	1719	1712	1721
OZDM7_2	OZDM7	941	971	978	529	432	534	606	642	546	1832	1837	1829
ONFQI273_1	ONFQI273	2036	2055	2080	466	524	587	657	601	667	851	817	913
ONFQI273_2	ONFQI273	2086	2100	2127	477	580	471	640	645	661	837	818	836
EJXRT946_1	EJXRT946	1004	995	960	2341	2280	2367	541	571	643	859	932	866
EJXRT946_2	EJXRT946	1051	934	988	2274	2408	2277	580	613	576	994	977	998
YZPD1_1	YZPD1	2387	2447	2389	560	656	539	591	609	567	915	1012	927
YZPD1_2	YZPD1	2459	2373	2480	613	531	545	663	642	560	909	926	926
XFYEO0_1	XFYEO0	533	598	575	512	622	629	578	530	527	1020	1027	1025
XFYEO0_2	XFYEO0	606	532	477	527	517	599	644	554	579	1012	1034	1047
ZTI42_1	ZTI42	1437	1367	1349	1123	1221	1093	550	557	588	196	210	157
ZTI42_2	ZTI42	1410	1377	1463	1163	1095	1116	650	559	578	257	185	127
PWIV612_1	PWIV612	1432	1446	1500	2258	2178	2204	572	531	627	1726	1732	1709
PWIV612_2	PWIV612	1391	1379	1446	2322	2296	2273	622	527	572	1805	1754	1757
CKBJ9_1	CKBJ9	3089	3051	2964	736	743	618	650	579	596	1826	1790	1755
CKBJ9_2	CKBJ9	2979	3015	3087	671	734	640	612	569	569	1877	1754	1764
GINX35_1	GINX35	758	728	844	647	676	639	645	591	660	4824	4824	4859
GINX35_2	GINX35	810	837	819	637	681	624	569	603	595	4879	4849	4841
QCIX32_1	QCIX32	644	594	687	1880	1892	1811	674	530	548	1318	1304	1188
QCIX32_2	QCIX32	637	715	723	1855	1846	1886	614	599	655	1215	1179	1296
WSFZ87_1	WSFZ87	692	692	585	859	866	963	527	551	646	295	329	358
WSFZ87_2	WSFZ87	711	626	613	882	964	857	627	559	615	304	344	296
GNDS0_1	GNDS0	3061	2988	3050	763	744	758	664	666	542	1404	1430	1496
GNDS0_2	GNDS0	3055	3012	3037	840	876	878	643	615	541	1368	1403	1498
ZMFT9_1	ZMFT9	754	780	759	1388	1437	1454	594	666	673	1809	1763	1907
ZMFT9_2	ZMFT9	742	672	789	1370	1371	1438	601	541	603	1799	1891	1864
IHWC3_1	IHWC3	1409	1479	1475	1084	998	1058	581	608	557	3526	3486	3530
IHWC3_2	IHWC3	1447	1405	1440	1025	1044	1045	545	668	566	3537	3432	3532
RDBKT823_1	RDBKT823	622	674	744	3332	3409	3473	661	575	659	1337	1287	1291
RDBKT823_2	RDBKT823	748	682	660	3340	3352	3332	575	528	611	1286	1316	1243
SJM5_1	SJM5	2339	2212	2226	593	674	678	577	530	639	993	903	902
SJM5_2	SJM5	2213	2220	2290	593	574	676	549	553	528	963	900	921
WAZPD38_1	WAZPD38	1563	1562	1630	746	872	765	593	589	548	1858	1914	1825
WAZPD38_2	WAZPD38	1526	1518	1602	757	812	843	613	628	630	1930	1863	1820
XHTQ268_1	XHTQ268	494	577	544	1363	1255	1302	653	624	583	1691	1634	1672
XHTQ268_2	XHTQ268	519	626	597	1317	1285	1310	668	621	574	1649	1711	1708
EKTL507_1	EKTL507	2177	2163	2105	2888	2949	2858	641	570	600	1205	1313	1198
EKTL507_2	EKTL507	2175	2116	2085	2942	2837	2880	655	595	638	1306	1255	1194
LPAXR098_1	LPAXR098	714	792	709	2922	2987	3054	559	615	594	754	749	750
LPAXR098_2	LPAXR098	738	794	785	2974	2944	3009	588	627	645	698	641	679
USX68_1	USX68	742	759	807	1798	1788	1756	642	619	530	2175	2245	2166
USX68_2	USX68	862	781	757	1790	1892	1891	610	630	562	2256	2260	2196
HRG408_1	HRG408	1490	1469	1366	1496	1505	1533	648	542	593	2016	2009	2008
HRG408_2	HRG408	1488	1435	1369	1543	1469	1506	622	544	640	2037	2094	2045
UVIKA3_1	UVIKA3	4465	4457	4461	451	518	488	659	643	572	939	932	1022
UVIKA3_2	UVIKA3	4585	4571	4574	444	584	580	587	613	628	960	931	1017
DAZ125_1	DAZ125	2687	2675	2641	1082	1129	1171	669	607	545	4220	4156	4284
DAZ125_2	DAZ125	2760	2732	2646	1132	1079	1056	602	602	578	4225	4205	4262
SZOHR216_1	SZOHR216	427	562	557	1023	1054	978	558	574	632	383	343	417
SZOHR216_2	SZOHR216	559	522	568	1018	1029	1067	584	658	557	432	332	370
OOQN847_1	OOQN847	1323	1297	1225	3779	3815	3790	525	671	653	911	850	798
OOQN847_2	OOQN847	1353	1261	1295	3854	3860	3803	652	639	649	912	837	806
WZV03_1	WZV03	1830	1889	1841	3691	3659	3699	642	570	626	2740	2751	2808
WZV03_2	WZV03	1913	1851	1902	3648	3723	3731	654	585	628	2850	2849	2745
TNV9_1	TNV9	2899	3022	2913	891	884	903	637	612	549	2418	2397	2373
TNV9_2	TNV9	2885	2940	2918	883	781	903	643	545	542	2395	2399	2512
DUCKA8_1	DUCKA8	81	130	85	223	147	197	175	105	206	108	166	199
DUCKA8_2	DUCKA8	195	102	143	128	176	134	221	97	168	108	140	92
EPEC43_1	EPEC43	1248	1107	1181	1071	1026	1061	565	585	587	613	622	633
EPEC43_2	EPEC43	1166	1151	1114	1021	1043	967	572	640	598	687	723	687
KREH42_1	KREH42	2198	2154	2182	2767	2748	2800	670	555	592	1174	1110	1205
KREH42_2	KREH42	2133	2198	2125	2699	2758	2774	618	558	633	1198	1094	1161
LWIUE90_1	LWIUE90	152	91	117	187	125	184	89	88	145	180	124	176
LWIUE90_2	LWIUE90	203	215	84	138	86	202	76	79	91	178	128	84
PVXO52_1	PVXO52	520	479	553	1271	1302	1208	539	540	652	939	1063	964
PVXO52_2	PVXO52	450	553	476	1194	1194	1295	561	535	632	1030	963	1004
TTB96_1	TTB96	1840	1798	1776	4058	3975	3949	560	578	596	805	686	707
TTB96_2	TTB96	1858	1845	1738	3925	3950	4011	620	633	546	671	721	713
XGQCB072_1	XGQCB072	4707	4644	4688	818	826	889	556	658	633	1364	1325	1417
XGQCB072_2	XGQCB072	4603	4614	4594	896	832	905	664	675	647	1385	1349	1370
YMSLO6_1	YMSLO6	132	132	128	98	204	221	177	221	194	158	151	120
YMSLO6_2	YMSLO6	189	107	200	223	109	140	77	185	161	177	224	195
GQK21_1	GQK21	553	539	522	2909	2799	2865	609	636	659	988	894	933
GQK21_2	GQK21	561	493	484	2800	2910	2913	594	545	614	917	955	888
XDUKG93_1	XDUKG93	573	587	587	1516	1403	1506	591	650	597	3142	3155	3112
XDUKG93_2	XDUKG93	598	613	602	1426	1380	1472	673	670	546	3101	3137	3173
TGM20_1	TGM20	3257	3144	3196	949	923	980	669	675	632	1607	1597	1609
TGM20_2	TGM20	3225	3220	3189	933	907	906	575	560	541	1637	1643	1520
DLUNT73_1	DLUNT73	601	548	512	656	697	579	553	572	582	1731	1760	1757
DLUNT73_2	DLUNT73	521	558	580	672	602	587	659	607	597	1695	1718	1699
MNJH574_1	MNJH574	731	785	745	2104	2197	2207	527	568	550	1387	1403	1343
MNJH574_2	MNJH574	830	822	739	2115	2131	2119	576	558	533	1415	1386	1390
THJM9_1	THJM9	1052	970	982	3145	3048	3071	620	641	568	763	840	772
THJM9_2	THJM9	1047	1073	1028	3056	3041	3067	601	607	638	825	769	744
KBS3_1	KBS3	1563	1438	1441	624	632	580	623	646	673	758	786	763
KBS3_2	KBS3	1501	1480	1525	604	583	663	593	550	557	840	779	821
OPL085_1	OPL085	220	124	79	176	92	224	153	78	208	87	102	119
OPL085_2	OPL085	79	134	185	169	136	138	170	212	171	88	118	88
OUX8_1	OUX8	2831	2759	2748	4338	4253	4359	612	640	543	1589	1621	1589
OUX8_2	OUX8	2799	2774	2726	4352	4234	4344	577	653	642	1550	1641	1599
XAFUL591_1	XAFUL591	669	675	661	820	801	785	596	538	561	1014	991	1015
XAFUL591_2	XAFUL591	613	605	611	881	864	786	532	639	674	1037	1028	982
AKJM96_1	AKJM96	1784	1893	1859	494	420	565	576	550	534	1547	1542	1479
AKJM96_2	AKJM96	1829	1905	1895	562	488	436	650	647	551	1495	1479	1518
AVLF14_1	AVLF14	410	514	416	1227	1151	1194	659	538	571	1477	1473	1435
AVLF14_2	AVLF14	397	428	425	1181	1209	1215	658	579	620	1452	1403	1426
VEU9_1	VEU9	4884	4913	4860	2067	2188	2175	654	557	572	2722	2822	2844
VEU9_2	VEU9	4822	4867	4892	2194	2171	2140	617	540	669	2769	2764	2761
EAL762_1	EAL762	3918	3991	3915	689	623	624	622	661	642	608	594	634
EAL762_2	EAL762	4050	3953	3993	680	721	651	646	573	584	630	573	646
ZJB26_1	ZJB26	1408	1446	1456	2732	2859	2761	536	670	592	1752	1813	1836
ZJB26_2	ZJB26	1423	1465	1502	2761	2738	2781	631	558	655	1764	1749	1738
WCF71_1	WCF71	672	732	690	1443	1452	1361	636	545	600	1738	1612	1667
WCF71_2	WCF71	592	653	663	1454	1375	1420	546	571	644	1699	1657	1703
ARQ239_1	ARQ239	258	205	183	1458	1472	1557	619	589	627	1368	1375	1359
ARQ239_2	ARQ239	128	123	169	1515	1512	1456	570	573	544	1303	1348	1309
JDAFX702_1	JDAFX702	811	808	864	1010	891	962	571	596	554	858	794	840
JDAFX702_2	JDAFX702	905	845	826	921	966	879	633	577	602	887	813	808
RYOGD17_1	RYOGD17	370	412	397	2336	2363	2266	631	622	646	1310	1305	1383
RYOGD17_2	RYOGD17	297	284	371	2383	2344	2314	559	537	572	1339	1351	1382
HYE8_1	HYE8	602	600	545	940	898	925	535	650	572	2755	2770	2709
HYE8_2	HYE8	544	630	534	987	988	988	637	643	598	2722	2714	2752
ZYZF84_1	ZYZF84	522	595	545	762	792	898	627	562	658	1549	1635	1647
ZYZF84_2	ZYZF84	636	617	591	849	760	788	581	591	651	1543	1561	1642
SJKXI5_1	SJKXI5	1359	1367	1351	1519	1426	1488	623	640	553	2238	2176	2161
SJKXI5_2	SJKXI5	1367	1359	1290	1544	1467	1464	553	533	650	2150	2236	2211
JGNVH104_1	JGNVH104	2358	2318	2272	2080	2144	2068	578	533	631	838	830	873
JGNVH104_2	JGNVH104	2384	2357	2322	2153	2164	2069	637	651	667	805	851	889
INOV10_1	INOV10	913	937	998	424	297	346	637	606	581	477	574	457
INOV10_2	INOV10	942	882	918	288	378	375	533	654	594	600	521	481
JQMIY341_1	JQMIY341	2027	1980	2009	819	847	821	624	623	543	778	810	809
JQMIY341_2	JQMIY341	2015	2047	2071	857	926	922	623	587	536	786	833	828
FGR20_1	FGR20	597	650	652	1164	1181	1251	646	588	564	409	349	438
FGR20_2	FGR20	714	626	688	1156	1235	1220	581	546	528	309	308	407
NGR3_1	NGR3	531	419	510	1656	1673	1646	580	578	549	3918	3919	3871
NGR3_2	NGR3	456	507	488	1591	1612	1662	536	612	630	3862	3846	3841
LNP3_1	LNP3	293	415	403	568	451	528	599	574	549	2732	2674	2747
LNP3_2	LNP3	287	415	403	496	571	552	544	590	555	2685	2723	2647
MIVUD0_1	MIVUD0	136	171	177	87	202	111	105	172	220	136	83	120
MIVUD0_2	MIVUD0	179	194	116	81	91	165	134	196	217	121	174	176
WESXG1_1	WESXG1	3190	3216	3183	798	792	835	631	657	552	1150	1221	1167
WESXG1_2	WESXG1	3289	3208	3220	842	930	860	586	610	538	1231	1218	1217
LDZBQ657_1	LDZBQ657	1090	1088	1076	773	843	858	549	558	649	887	762	828
LDZBQ657_2	LDZBQ657	1173	1185	1164	780	755	803	611	657	613	829	898	793
UBC893_1	UBC893	1005	950	1032	1561	1547	1521	624	620	649	2619	2637	2609
UBC893_2	UBC893	998	959	1014	1607	1581	1600	614	648	588	2551	2644	2547
JOR28_1	JOR28	1419	1377	1445	1885	1785	1875	674	583	545	1321	1339	1318
JOR28_2	JOR28	1417	1366	1430	1816	1825	1777	549	539	631	1282	1308	1376
GLM96_1	GLM96	790	731	756	1798	1827	1792	547	602	597	412	430	491
GLM96_2	GLM96	750	764	832	1805	1765	1792	594	571	545	498	386	459
HVKTE192_1	HVKTE192	435	567	490	364	379	433	600	576	675	760	846	779
HVKTE192_2	HVKTE192	429	539	425	408	415	420	591	565	670	856	858	764
OLMF590_1	OLMF590	1712	1713	1657	1674	1648	1639	545	609	627	721	808	842
OLMF590_2	OLMF590	1659	1701	1677	1601	1546	1669	648	628	530	770	746	800
CAL249_1	CAL249	2827	2764	2836	940	956	942	601	563	534	1365	1473	1435
CAL249_2	CAL249	2832	2746	2817	983	913	871	564	653	527	1425	1392	1404
GZI764_1	GZI764	2481	2486	2427	726	720	796	583	622	611	1092	1106	1027
GZI764_2	GZI764	2450	2475	2355	816	830	828	661	647	641	1076	1047	1154
UELC56_1	UELC56	3618	3581	3502	3421	3522	3479	626	545	543	1184	1192	1133
UELC56_2	UELC56	3558	3630	3508	3471	3384	3489	668	586	545	1120	1174	1134
LOKAC16_1	LOKAC16	3438	3495	3522	1113	1031	1037	634	625	662	969	985	1021
LOKAC16_2	LOKAC16	3496	3554	3516	1132	1148	1056	548	596	602	970	985	1027
UJAN831_1	UJAN831	1703	1678	1737	276	254	192	577	552	578	517	395	418
UJAN831_2	UJAN831	1749	1719	1783	296	233	280	609	578	651	414	511	474
MUZ624_1	MUZ624	1131	1127	1043	993	1023	1041	609	627	610	1076	1068	1020
MUZ624_2	MUZ624	1118	1034	1020	979	1119	1021	617	647	527	1023	970	1073
NUGQN026_1	NUGQN026	76	147	201	196	147	100	161	104	127	80	215	205
NUGQN026_2	NUGQN026	121	199	91	137	196	140	129	205	83	127	164	206
RRQUT4_1	RRQUT4	1563	1583	1630	1815	1878	1798	618	654	623	893	863	874
RRQUT4_2	RRQUT4	1631	1543	1664	1892	1844	1885	618	596	613	934	909	986
IDSKJ473_1	IDSKJ473	1705	1622	1657	992	1115	1061	619	576	632	784	848	841
IDSKJ473_2	IDSKJ473	1744	1653	1721	1089	1028	1048	602	572	561	872	843	832
WCJIX837_1	WCJIX837	1554	1616	1573	1730	1662	1727	657	599	557	995	956	1034
WCJIX837_2	WCJIX837	1640	1567	1630	1727	1626	1715	557	526	657	980	932	983
KIBU47_1	KIBU47	135	211	119	216	120	204	106	86	85	145	88	208
KIBU47_2	KIBU47	142	112	194	96	143	143	204	76	151	128	198	101
DILX93_1	DILX93	1514	1544	1586	285	374	339	543	586	655	790	802	789
DILX93_2	DILX93	1578	1646	1599	296	237	288	561	593	531	772	771	757
WJEY317_1	WJEY317	1994	1937	1990	3485	3510	3443	573	590	642	709	654	692
WJEY317_2	WJEY317	1970	2025	1953	3517	3445	3525	556	546	549	605	678	738
YJB430_1	YJB430	238	273	249	3011	3025	2979	601	545	591	613	566	519
YJB430_2	YJB430	333	358	324	2950	3031	3047	643	600	624	528	539	510
PXHI09_1	PXHI09	527	608	536	1301	1272	1200	637	625	592	1814	1794	1829
PXHI09_2	PXHI09	531	611	509	1316	1284	1229	560	583	661	1776	1831	1836
XMKH4_1	XMKH4	1292	1330	1353	737	730	767	670	555	630	2896	2910	2933
XMKH4_2	XMKH4	1288	1363	1401	682	678	670	672	550	657	2939	2963	2959
XXNLB5_1	XXNLB5	1358	1404	1362	460	491	574	630	626	674	2132	2107	2100
XXNLB5_2	XXNLB5	1446	1471	1347	466	576	486	543	616	586	2054	2075	2089
HJX09_1	HJX09	2275	2283	2141	3289	3296	3378	661	668	674	954	998	997
HJX09_2	HJX09	2235	2286	2287	3303	3408	3414	547	606	635	910	954	916
VQA10_1	VQA10	1660	1693	1688	672	746	789	544	587	582	931	967	1013
VQA10_2	VQA10	1681	1630	1662	740	712	665	531	671	553	1009	949	941
KKS279_1	KKS279	392	505	429	745	738	644	625	649	543	691	594	605
KKS279_2	KKS279	394	510	447	719	661	656	604	561	530	640	612	692
OGBQ143_1	OGBQ143	439	457	438	579	600	611	646	673	575	1652	1518	1647
OGBQ143_2	OGBQ143	432	419	395	637	590	645	630	648	647	1608	1564	1584
VRWP319_1	VRWP319	391	430	402	897	1031	944	573	575	538	840	870	864
VRWP319_2	VRWP319	393	373	380	950	994	911	551	607	637	910	973	827
VAUC46_1	VAUC46	963	1052	1021	857	808	801	548	651	606	1842	1862	1784
VAUC46_2	VAUC46	1032	999	964	751	743	776	590	528	537	1813	1800	1781
VXYJV284_1	VXYJV284	500	506	493	1095	1068	1106	591	608	622	977	942	850
VXYJV284_2	VXYJV284	468	492	468	1156	1062	1066	561	639	592	882	922	977
FHRDQ6_1	FHRDQ6	102	195	177	128	105	155	102	107	118	188	132	76
FHRDQ6_2	FHRDQ6	113	90	212	155	181	86	98	122	97	156	148	146
XIBEN746_1	XIBEN746	5448	5508	5491	469	424	484	584	598	614	929	948	938
XIBEN746_2	XIBEN746	5519	5415	5452	429	529	487	667	563	630	976	917	984
SOAF69_1	SOAF69	1824	1815	1710	3942	3998	3937	607	525	572	2092	2146	2164
SOAF69_2	SOAF69	1829	1804	1811	3864	3866	4002	526	660	628	2132	2170	2205
FTG6_1	FTG6	4820	4801	4678	3540	3482	3480	526	573	641	712	813	758
FTG6_2	FTG6	4714	4818	4673	3472	3570	3427	605	537	613	806	731	689
RCEXP751_1	RCEXP751	1457	1438	1499	2479	2598	2486	527	606	672	949	1003	940
RCEXP751_2	RCEXP751	1400	1514	1516	2489	2510	2501	626	598	628	979	1036	928
ECS3_1	ECS3	1343	1356	1405	2182	2203	2128	583	629	657	1033	1102	1063
ECS3_2	ECS3	1452	1404	1319	2077	2079	2061	631	558	557	1050	1032	1111
FNGVC429_1	FNGVC429	3884	3792	3847	1868	1949	1896	537	653	629	2354	2371	2401
FNGVC429_2	FNGVC429	3765	3792	3759	1893	1884	1903	658	595	592	2420	2429	2339
